weight,fighter1,fighter2,method,round_end,time,date,event
"Heavyweight
","Derrick Lewis
","Marcin Tybura
","TKO (punches)
","3
","2:48
","Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros
"Lightweight
","James Vick
","Francisco Trinaldo
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros
"Welterweight
","Curtis Millender
","Thiago Alves
","KO (knee)
","2
","4:17
","Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros
"Featherweight
","Brandon Davis
","Steven Peterson
","Decision (unanimous) (30-27, 29-28, 30-26)
","3
","5:00
","Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros
"Lightweight
","Sage Northcutt
","Thibault Gouti
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros
"Lightweight
","Carlos Diego Ferreira
","Jared Gordon
","TKO (punches)
","1
","1:58
","Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros
"Welterweight
","Geoff Neal
","Brian Camozzi
","Submission (bulldog choke)
","1
","2:48
","Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros
"Flyweight
","Roberto Sanchez
","Joby Sanchez
","Submission (rear-naked choke)
","1
","1:50
","Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros
"Women's Bantamweight
","Lucie Pudilová
","Sarah Moras
","Decision (unanimous) (29-28, 29-28, 29-27)
","3
","5:00
","Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros
"Welterweight
","Alex Morono
","Josh Burkman
","Submission (guillotine choke)
","1
","2:12
","Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros
"Middleweight
","Oskar Piechota
","Tim Williams
","KO (punches)
","1
","1:54
","Feb 18, 2018",UFC Fight Night: Cowboy vs. Medeiros
"Catchweight (187.7 lbs)
","Yoel Romero
","Luke Rockhold
","KO (punches)
","3
","1:48
","Feb 11, 2018",UFC 221
"Heavyweight
","Curtis Blaydes
","Mark Hunt
","Decision (unanimous) (30-26, 30-26, 29-27)
","3
","5:00
","Feb 11, 2018",UFC 221
"Heavyweight
","Tai Tuivasa
","Cyril Asker
","TKO (punches and elbows)
","1
","2:18
","Feb 11, 2018",UFC 221
"Welterweight
","Jake Matthews
","Li Jingliang
","Decision (unanimous) (29-28, 30-26, 30-26)
","3
","5:00
","Feb 11, 2018",UFC 221
"Light Heavyweight
","Tyson Pedro
","Saparbek Safarov
","Submission (kimura)
","1
","3:54
","Feb 11, 2018",UFC 221
"Lightweight
","Dong Hyun Kim
","Damien Brown
","Decision (split) (29-28, 28-29, 29-28)
","3
","5:00
","Feb 11, 2018",UFC 221
"Middleweight
","Israel Adesanya
","Rob Wilkinson
","TKO (knees and punches)
","2
","3:37
","Feb 11, 2018",UFC 221
"Featherweight
","Alexander Volkanovski
","Jeremy Kennedy
","TKO (punches and elbows)
","2
","4:57
","Feb 11, 2018",UFC 221
"Flyweight
","Jussier Formiga
","Ben Nguyen
","Technical Submission (rear-naked choke)
","3
","1:43
","Feb 11, 2018",UFC 221
"Lightweight
","Ross Pearson
","Mizuto Hirota
","Decision (unanimous) (30-27, 30-27, 29-28)
","3
","5:00
","Feb 11, 2018",UFC 221
"Bantamweight
","José Alberto Quiñónez
","Teruto Ishihara
","Decision (unanimous) (30-27, 29-28, 29-28)
","3
","5:00
","Feb 11, 2018",UFC 221
"Welterweight
","Luke Jumeau
","Daichi Abe
","Decision (unanimous) (29-28, 29-27, 28-27)
","3
","5:00
","Feb 11, 2018",UFC 221
"Middleweight
","Lyoto Machida
","Eryk Anders
","Decision (split) (48-47, 47-48, 49-46)
","5
","5:00
","Feb 3, 2018",UFC Fight Night: Machida vs. Anders
"Women's Flyweight
","Valentina Shevchenko
","Priscila Cachoeira
","Submission (rear-naked choke)
","2
","4:25
","Feb 3, 2018",UFC Fight Night: Machida vs. Anders
"Catchweight (161 lbs)
","Michel Prazeres
","Desmond Green
","Decision (unanimous) (30-27, 29-28, 30-27)
","3
","5:00
","Feb 3, 2018",UFC Fight Night: Machida vs. Anders
"Heavyweight
","Timothy Johnson
","Marcelo Golm
","Decision (unanimous) (30-27, 29-28, 29-28)
","3
","5:00
","Feb 3, 2018",UFC Fight Night: Machida vs. Anders
"Bantamweight
","Douglas Silva de Andrade
","Marlon Vera
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Feb 3, 2018",UFC Fight Night: Machida vs. Anders
"Middleweight
","Thiago Santos
","Anthony Smith
","TKO (body kick and punches)
","2
","1:03
","Feb 3, 2018",UFC Fight Night: Machida vs. Anders
"Welterweight
","Sérgio Moraes
","Tim Means
","Decision (split) (28-29, 29-28, 29-28)
","3
","5:00
","Feb 3, 2018",UFC Fight Night: Machida vs. Anders
"Lightweight
","Alan Patrick
","Damir Hadžović
","Decision (unanimous) (30-25, 30-27, 30-27)
","3
","5:00
","Feb 3, 2018",UFC Fight Night: Machida vs. Anders
"Women's Strawweight
","Polyana Viana
","Maia Stevenson
","Submission (rear-naked choke)
","1
","3:50
","Feb 3, 2018",UFC Fight Night: Machida vs. Anders
"Bantamweight
","Iuri Alcântara
","Joe Soto
","TKO (body kick and punches)
","1
","1:06
","Feb 3, 2018",UFC Fight Night: Machida vs. Anders
"Flyweight
","Deiveson Figueiredo
","Joseph Morales
","TKO (punches)
","2
","4:34
","Feb 3, 2018",UFC Fight Night: Machida vs. Anders
"Middleweight
","Ronaldo Souza
","Derek Brunson
","KO (head kick and punches)
","1
","3:50
","Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2
"Featherweight
","Andre Fili
","Dennis Bermudez
","Decision (split) (29-28, 27-30, 29-28)
","3
","5:00
","Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2
"Lightweight
","Gregor Gillespie
","Jordan Rinaldi
","TKO (punches)
","1
","4:46
","Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2
"Welterweight
","Drew Dober
","Frank Camacho
","Decision (unanimous) (29-28, 29-28, 30-27)
","3
","5:00
","Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2
"Lightweight
","Bobby Green
","Erik Koch
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2
"Featherweight
","Mirsad Bektić
","Godofredo Pepey
","TKO (body punch)
","1
","2:47
","Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2
"Women's Flyweight
","Katlyn Chookagian
","Mara Borella
","Decision (unanimous) (29-28, 29-28, 30-27)
","3
","5:00
","Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2
"Women's Strawweight
","Randa Markos
","Juliana Lima
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2
"Women's Flyweight
","Kim Ji Yeon
","Justine Kish
","Decision (split) (29-28, 28-29, 30-27)
","3
","5:00
","Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2
"Lightweight
","Vinc Pichel
","Joaquim Silva
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2
"Welterweight
","Niko Price
","George Sullivan
","Submission (rear-naked choke)
","2
","4:21
","Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2
"Featherweight
","Cory Sandhagen
","Austin Arnett
","TKO (punches)
","2
","3:48
","Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2
"Heavyweight
","Stipe Miocic (c)
","Francis Ngannou
","Decision (unanimous) (50-44, 50-44, 50-44)
","5
","5:00
","Jan 20, 2018",UFC 220
"Light Heavyweight
","Daniel Cormier (c)
","Volkan Oezdemir
","TKO (punches)
","2
","2:00
","Jan 20, 2018",UFC 220
"Featherweight
","Calvin Kattar
","Shane Burgos
","TKO (punches)
","3
","0:32
","Jan 20, 2018",UFC 220
"Light Heavyweight
","Gian Villante
","Francimar Barroso
","Decision (split) (30-27, 28-29, 30-27)
","3
","5:00
","Jan 20, 2018",UFC 220
"Bantamweight
","Rob Font
","Thomas Almeida
","TKO (head kick and punches)
","2
","2:24
","Jan 20, 2018",UFC 220
"Featherweight
","Kyle Bochniak
","Brandon Davis
","Decision (unanimous) (29-28, 29-28, 30-27)
","3
","5:00
","Jan 20, 2018",UFC 220
"Welterweight
","Abdul Razak Alhassan
","Sabah Homasi
","KO (punch)
","1
","3:47
","Jan 20, 2018",UFC 220
"Flyweight
","Dustin Ortiz
","Alexandre Pantoja
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Jan 20, 2018",UFC 220
"Featherweight
","Julio Arce
","Dan Ige
","Decision (unanimous) (30-27, 30-27, 29-28)
","3
","5:00
","Jan 20, 2018",UFC 220
"Featherweight
","Enrique Barzola
","Matt Bessette
","Decision (unanimous) (30-27, 29-28, 29-28)
","3
","5:00
","Jan 20, 2018",UFC 220
"Lightweight
","Islam Makhachev
","Gleison Tibau
","KO (punch)
","1
","0:57
","Jan 20, 2018",UFC 220
"Featherweight
","Jeremy Stephens
","Doo Ho Choi
","TKO (punches and elbows)
","2
","2:36
","Jan 14, 2018",UFC Fight Night: Stephens vs. Choi
"Women's Flyweight
","Jessica-Rose Clark
","Paige VanZant
","Decision (unanimous) (30-27, 29-28, 29-28)
","3
","5:00
","Jan 14, 2018",UFC Fight Night: Stephens vs. Choi
"Welterweight
","Kamaru Usman
","Emil Weber Meek
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Jan 14, 2018",UFC Fight Night: Stephens vs. Choi
"Featherweight
","Darren Elkins
","Michael Johnson
","Submission (rear-naked choke)
","2
","2:22
","Jan 14, 2018",UFC Fight Night: Stephens vs. Choi
"Lightweight
","James Krause
","Alex White
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Jan 14, 2018",UFC Fight Night: Stephens vs. Choi
"Lightweight
","Polo Reyes
","Matt Frevola
","KO (punch)
","1
","1:00
","Jan 14, 2018",UFC Fight Night: Stephens vs. Choi
"Women's Bantamweight
","Irene Aldana
","Talita Bernardo
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Jan 14, 2018",UFC Fight Night: Stephens vs. Choi
"Bantamweight
","Kyung Ho Kang
","Guido Cannetti
","Submission (triangle choke)
","1
","4:53
","Jan 14, 2018",UFC Fight Night: Stephens vs. Choi
"Women's Flyweight
","Jessica Eye
","Kalindra Faria
","Decision (split) (29-28, 28-29, 29-28)
","3
","5:00
","Jan 14, 2018",UFC Fight Night: Stephens vs. Choi
"Women's Strawweight
","JJ Aldrich
","Danielle Taylor
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Jan 14, 2018",UFC Fight Night: Stephens vs. Choi
"Catchweight (150 lbs)
","Mads Burnell
","Mike Santiago
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Jan 14, 2018",UFC Fight Night: Stephens vs. Choi
"Women's Featherweight
","Cris Cyborg (c)
","Holly Holm
","Decision (unanimous) (49-46, 48-47, 48-47)
","5
","5:00
","Dec 30, 2017",UFC 219
"Lightweight
","Khabib Nurmagomedov
","Edson Barboza
","Decision (unanimous) (30-25, 30-25, 30-24)
","3
","5:00
","Dec 30, 2017",UFC 219
"Lightweight
","Dan Hooker
","Marc Diakiese
","Submission (guillotine choke)
","3
","0:42
","Dec 30, 2017",UFC 219
"Women's Strawweight
","Carla Esparza
","Cynthia Calvillo
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Dec 30, 2017",UFC 219
"Welterweight
","Neil Magny
","Carlos Condit
","Decision (unanimous) (30-27, 30-27, 29-28)
","3
","5:00
","Dec 30, 2017",UFC 219
"Light Heavyweight
","Michał Oleksiejczuk
","Khalil Rountree
","No Contest (overturned)
","3
","5:00
","Dec 30, 2017",UFC 219
"Featherweight
","Myles Jury
","Rick Glenn
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Dec 30, 2017",UFC 219
"Middleweight
","Marvin Vettori
","Omari Akhmedov
","Draw (majority) (28-28, 29-28, 28-28)
","3
","5:00
","Dec 30, 2017",UFC 219
"Flyweight
","Matheus Nicolau
","Louis Smolka
","Decision (unanimous) (30-26, 30-26, 30-25)
","3
","5:00
","Dec 30, 2017",UFC 219
"Bantamweight
","Tim Elliott
","Mark De La Rosa
","Submission (anaconda choke)
","2
","1:41
","Dec 30, 2017",UFC 219
"Welterweight
","Rafael dos Anjos
","Robbie Lawler
","Decision (unanimous) (50-45, 50-45, 50-45)
","5
","5:00
","Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos
"Catchweight (148.5 lbs)
","Josh Emmett
","Ricardo Lamas
","KO (punch)
","1
","4:33
","Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos
"Welterweight
","Santiago Ponzinibbio
","Mike Perry
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos
"Light Heavyweight
","Glover Teixeira
","Misha Cirkunov
","TKO (punches)
","1
","2:45
","Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos
"Light Heavyweight
","Jan Błachowicz
","Jared Cannonier
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos
"Middleweight
","Julian Marquez
","Darren Stewart
","Submission (guillotine choke)
","2
","2:42
","Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos
"Welterweight
","Chad Laprise
","Galore Bofando
","TKO (punches)
","1
","4:10
","Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos
"Welterweight
","Nordine Taleb
","Danny Roberts
","KO (head kick, elbow and punch)
","1
","0:59
","Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos
"Lightweight
","John Makdessi
","Abel Trujillo
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos
"Middleweight
","Alessio Di Chirico
","Oluwale Bamgbose
","KO (knee)
","2
","2:14
","Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos
"Welterweight
","Jordan Mein
","Erick Silva
","Decision (unanimous) (30-26, 30-27, 30-27)
","3
","5:00
","Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos
"Featherweight
","Brian Ortega
","Cub Swanson
","Submission (guillotine choke)
","2
","3:22
","Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega
"Featherweight
","Gabriel Benítez
","Jason Knight
","Decision (unanimous) (30-26, 30-26, 29-27)
","3
","5:00
","Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega
"Bantamweight
","Marlon Moraes
","Aljamain Sterling
","KO (knee)
","1
","1:07
","Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega
"Lightweight
","Scott Holtzman
","Darrell Horcher
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega
"Middleweight
","Eryk Anders
","Markus Perez
","Decision (unanimous) (30-26, 30-25, 29-28)
","3
","5:00
","Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega
"Bantamweight
","Benito Lopez
","Albert Morales
","Decision (unanimous) (30-27, 29-28, 29-28)
","3
","5:00
","Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega
"Women's Flyweight
","Alexis Davis
","Liz Carmouche
","Decision (split) (29-28, 28-29, 29-28)
","3
","5:00
","Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega
"Bantamweight
","Andre Soukhamthath
","Luke Sanders
","TKO (punches)
","2
","1:06
","Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega
"Bantamweight
","Alex Perez
","Carls John de Tomas
","Submission (anaconda choke)
","2
","1:54
","Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega
"Bantamweight
","Frankie Saenz
","Merab Dvalishvili
","Decision (split) (29-28, 28-29, 29-28)
","3
","5:00
","Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega
"Bantamweight
","Alejandro Pérez
","Iuri Alcântara
","Decision (unanimous) (30-27, 29-28, 29-28)
","3
","5:00
","Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega
"Lightweight
","Davi Ramos
","Chris Gruetzemacher
","Submission (rear-naked choke)
","3
","0:50
","Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega
"Middleweight
","Trevin Giles
","Antônio Braga Neto
","KO (punches)
","3
","2:27
","Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega
"Featherweight
","Max Holloway (c)
","José Aldo 
","TKO (punches)
","3
","4:51
","Dec 2, 2017",UFC 218
"Heavyweight
","Francis Ngannou
","Alistair Overeem
","KO (punch)
","1
","1:42
","Dec 2, 2017",UFC 218
"Flyweight
","Henry Cejudo
","Sergio Pettis
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Dec 2, 2017",UFC 218
"Lightweight
","Eddie Alvarez
","Justin Gaethje
","KO (knee and punches)
","3
","3:59
","Dec 2, 2017",UFC 218
"Women's Strawweight
","Tecia Torres
","Michelle Waterson
","Decision (unanimous) (30-27, 29-28, 29-28)
","3
","5:00
","Dec 2, 2017",UFC 218
"Lightweight
","Paul Felder
","Charles Oliveira
","TKO (elbows)
","2
","4:06
","Dec 2, 2017",UFC 218
"Welterweight
","Yancy Medeiros
","Alex Oliveira
","TKO (punches)
","3
","2:02
","Dec 2, 2017",UFC 218
"Lightweight
","David Teymur
","Drakkar Klose
","Decision (unanimous) (30-27, 30-27, 29-28)
","3
","5:00
","Dec 2, 2017",UFC 218
